feature_name	feature_type	feature_class	source_layer	n_samples	n_observed	n_missing	missing_fraction	missingness_threshold	retained	drop_reason	imputation_median
nonsynonymous_count	count	mutation_count_proxy	somatic_mutation	10201	10201	0	0.0	0.3	True		61.0
total_mutation_count	count	mutation_count_proxy	somatic_mutation	10201	10201	0	0.0	0.3	True		95.0
driver_mutation_TP53	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_KRAS	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_BRAF	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_IDH1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_IDH2	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_PIK3CA	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_APC	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_PTEN	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_NF1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_BAP1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_VHL	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_RB1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_CDKN2A	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_SMAD4	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_ARID1A	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_TERT	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_EGFR	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_ERBB2	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_ALK	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_MET	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_MYC	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_CTNNB1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_POLE	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_MSH2	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_MSH6	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
driver_mutation_MLH1	binary	driver_mutation_binary	somatic_mutation	10201	10201	0	0.0	0.3	True		0.0
