rank	lineage_or_project_group	supporting_tcga_projects	similarity_score	confidence_tier	evidence_summary	caveats
1	lower_GI	COAD (0.3438); READ (0.2263)	0.5701127836271324	moderate_support	Top-k neighbor weight 0.5701 from COAD (0.3438); READ (0.2263). Heuristic feature observations: APC and KRAS mutations are both present.	Gastrointestinal overlap is common; this group is not an organ-specific diagnosis. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
2	pancreatobiliary_hepatobiliary	PAAD (0.3092)	0.3092113623586324	weak_support	Top-k neighbor weight 0.3092 from PAAD (0.3092). Heuristic feature observations: KRAS and SMAD4 mutations are both present.	This intentionally broad group contains biologically distinct projects and must be decomposed in project-level review. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
3	upper_GI	STAD (0.0634)	0.0633840271420781	indeterminate	Top-k neighbor weight 0.0634 from STAD (0.0634). No lineage-specific heuristic feature rule triggered.	ESCA contains mixed histologies, and upper-GI molecular profiles can overlap other carcinomas. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
4	lung_adenocarcinoma	LUAD (0.0573)	0.0572918268721568	indeterminate	Top-k neighbor weight 0.0573 from LUAD (0.0573). No lineage-specific heuristic feature rule triggered.	Molecular similarity to LUAD is not sufficient to establish pulmonary origin. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
5	lung_squamous_head_neck_squamous		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	Squamous molecular programs are shared across anatomic sites and are not tissue-specific. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
6	breast_gynecologic_mullerian		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	This broad group combines distinct lineages and histologies; project-level results remain essential. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
7	kidney		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	Renal projects are molecularly distinct and should not be treated as interchangeable. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
8	urothelial		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	BLCA includes mixed histologic annotations and does not represent every urothelial site. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
9	prostate		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	Similarity to PRAD requires orthogonal prostate-lineage confirmation. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
10	thyroid		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	The project is dominated by differentiated thyroid carcinoma and is not a universal thyroid reference. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
11	melanoma		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	SKCM and UVM have distinct molecular programs and must be reviewed separately. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
12	CNS_glial		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	This group does not cover all primary or metastatic CNS tumors. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
13	hematolymphoid		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	TCGA representation is sparse and does not cover the full hematolymphoid diagnostic spectrum. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
14	sarcoma_mesenchymal		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	SARC aggregates multiple histologic subtypes and is not a subtype-level reference. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
15	germ_cell		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	This reference does not encompass all extragonadal or pediatric germ-cell tumors. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
16	endocrine_adrenal_paraganglioma		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	ACC and PCPG are biologically distinct and do not represent all neuroendocrine neoplasms. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
17	mesothelioma		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	Molecular similarity requires morphologic and immunophenotypic confirmation of mesothelial lineage. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
18	other_or_mixed		0.0	indeterminate	No returned top-k neighbors mapped to this lineage group. No lineage-specific heuristic feature rule triggered.	This residual grouping is heterogeneous; THYM is a limited reference and should be reviewed at project level. Similarity scores are normalized descriptive weights, not probabilities or diagnoses.
