level	metric	value	source_file	notes
overall	tcga_projects_represented	33	results/tables/level1_tree_qc_summary.tsv	
level1	biologic_features_used	52	results/tables/level1_tree_qc_summary.tsv	
level1	distance_methods_generated	gower;correlation	results/tables/level1_tree_qc_summary.tsv	
level1	bootstrap_iterations_completed	100	results/tables/level1_tree_qc_summary.tsv	
level2	groups_with_project_level_trees	carcinoma_all, pan_squamous, gi_pancancreatobiliary, kidney, gynecologic_breast	results/tables/level2_group_definitions.tsv	
level2	underpowered_groups	cns_glial (underpowered_project_count_2_lt_3), melanocytic (underpowered_project_count_2_lt_3), hematolymphoid (underpowered_project_count_2_lt_3), sarcoma (underpowered_project_count_1_lt_3;insufficient_variable_features_0_lt_2;no_clinical_or_sarc_subtype_feature_metadata_found)	results/tables/level2_group_definitions.tsv	
level3_candidate_selection	total_mutation_layer_samples	10201	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_candidate_selection	samples_with_ref_alt_counts	10201	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_candidate_selection	samples_with_purity	9516	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_candidate_selection	samples_with_ploidy	9516	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_candidate_selection	samples_with_copy_number_or_aneuploidy	9667	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_candidate_selection	samples_passing_minimum_filters	3017	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_candidate_selection	samples_selected_for_pilot_cohort	84	results/tables/level3_candidate_selection_qc_summary.tsv	
level3_segment_cn	gdc_segment_files_found	20274	results/tables/level3_segment_cn_qc_summary.tsv	
level3_segment_cn	gdc_segment_files_matched_to_pilot	434	results/tables/level3_segment_cn_qc_summary.tsv	
level3_segment_cn	selected_best_files	84	results/tables/level3_segment_cn_qc_summary.tsv	
level3_segment_cn	total_segment_rows_processed	34028	results/tables/level3_segment_cn_qc_summary.tsv	
level3_segment_cn	pilot_samples_with_segment_level_cn	84	results/tables/level3_segment_cn_qc_summary.tsv	
level3_mutation_local_cn	total_mutations_evaluated	220124	results/tables/level3_mutation_local_cn_annotation_qc_summary.tsv	
level3_mutation_local_cn	total_mutations_annotated_with_local_cn	213112	results/tables/level3_mutation_local_cn_annotation_qc_summary.tsv	
level3_mutation_local_cn	percentage_mutations_annotated	96.815	results/tables/level3_mutation_local_cn_annotation_qc_summary.tsv	
level3_mutation_local_cn	samples_eligible_for_downstream_clonal_input	84	results/tables/level3_mutation_local_cn_annotation_qc_summary.tsv	
level3_clonal_input	total_copy_neutral_candidate_mutations	106337	results/tables/level3_clonal_input_preparation_qc_summary.tsv	
level3_clonal_input	samples_eligible_for_limited_vaf_clustering	79	results/tables/level3_clonal_input_preparation_qc_summary.tsv	
level3_clonal_input	samples_eligible_for_copy_number_aware_clustering	0	results/tables/level3_clonal_input_preparation_qc_summary.tsv	
level3_clonal_input	samples_requiring_allele_specific_cn	84	results/tables/level3_clonal_input_preparation_qc_summary.tsv	
level3_limited_vaf	total_selected_pilot_samples	30	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
level3_limited_vaf	samples_successfully_clustered	30	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
level3_limited_vaf	samples_skipped	0	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
level3_limited_vaf	total_clustered_mutations	81154	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
level3_limited_vaf	predominantly_clonal_like	5	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
level3_limited_vaf	oligoclonal_like	11	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
level3_limited_vaf	multicluster_subclonal_like	14	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	
