PC	percent_variance_explained	pca_basis
PC1	17.7281878454273	selected_gene_expression_pca
PC2	10.3985856132197	selected_gene_expression_pca
PC3	7.61859134637105	selected_gene_expression_pca
PC4	5.89675893604808	selected_gene_expression_pca
PC5	5.66755452379195	selected_gene_expression_pca
PC6	4.84522257538354	selected_gene_expression_pca
PC7	3.97133414332735	selected_gene_expression_pca
PC8	2.93003518119279	selected_gene_expression_pca
PC9	2.61777019985303	selected_gene_expression_pca
PC10	2.20380813462682	selected_gene_expression_pca
PC11	1.93430011774124	selected_gene_expression_pca
PC12	1.78430579753618	selected_gene_expression_pca
PC13	1.60374903066594	selected_gene_expression_pca
PC14	1.48755436616414	selected_gene_expression_pca
PC15	1.45567352494387	selected_gene_expression_pca
PC16	1.32170884058567	selected_gene_expression_pca
PC17	1.30277582837667	selected_gene_expression_pca
PC18	1.1442459024714	selected_gene_expression_pca
PC19	1.09582264404777	selected_gene_expression_pca
PC20	1.0541235133349	selected_gene_expression_pca
