sample_barcode	patient_barcode	project_id	project_code	recommended_tool	tumor_bam_required	normal_bam_required	tumor_vcf_required	normal_vcf_required	snp_pileup_required	matched_normal_available_unknown	current_available_inputs	missing_required_inputs	recommended_command_template	notes
TCGA-D1-A103-01A	TCGA-D1-A103	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-FS-A1ZG-06A	TCGA-FS-A1ZG	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-EE-A3AD-06A	TCGA-EE-A3AD	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-FS-A1ZZ-06A	TCGA-FS-A1ZZ	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-AX-A2HC-01A	TCGA-AX-A2HC	TCGA-UCEC	UCEC	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-EE-A17Z-06A	TCGA-EE-A17Z	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-GN-A262-06A	TCGA-GN-A262	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-EE-A2GR-06A	TCGA-EE-A2GR	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-EE-A29L-06A	TCGA-EE-A29L	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
TCGA-D9-A6EC-06A	TCGA-D9-A6EC	TCGA-SKCM	SKCM	FACETS	True	True	False	False	True	True	segment_mean_cn;somatic_mutation_ref_alt_counts;purity_ploidy	tumor_bam_or_precomputed_tumor_snp_counts;matched_normal_bam_or_precomputed_normal_snp_counts;snp_pileup_or_equivalent_allele_count_input	<snp-pileup> <common_snp_vcf.gz> <sample_counts.csv.gz> <normal.bam> <tumor.bam>; Rscript <facets_wrapper.R> <sample_counts.csv.gz> <output_dir>	placeholder_command_requires_tool_version_reference_build_common_snp_resource_and_manual_qc;do_not_assume_bams_exist;do_not_run_pyclone_vi_or_phylowgs_in_this_step
