level	output_type	file_path	description	exists	notes
integrated	report	results/reports/integrated_tcga_cancer_phylogeny_report.md	Main integrated project report	True	
integrated	report	results/reports/integrated_tcga_cancer_phylogeny_executive_summary.md	Executive summary for collaborators	True	
integrated	report	results/reports/integrated_tcga_cancer_phylogeny_methods.md	Concise methods summary	True	
integrated	report	results/reports/integrated_tcga_cancer_phylogeny_limitations_next_steps.md	Limitations and next recommended development steps	True	
integrated	report	results/reports/integrated_tcga_cancer_phylogeny_report.html	Optional HTML rendering of main report	True	
integrated	table	results/tables/integrated_project_summary.tsv	Machine-readable integrated project summary	True	
integrated	table	results/tables/integrated_project_outputs_index.tsv	Machine-readable project output index	True	
level1	table	results/tables/level1_feature_matrix.tsv	Level 1 project feature matrix	True	
level1	table	results/tables/level1_tree_qc_summary.tsv	Level 1 tree QC summary	True	
level1	table	results/tables/level1_bootstrap_cluster_stability.tsv	Level 1 feature-bootstrap co-clustering stability	True	
level1	tree	results/trees/level1_pan_cancer_gower_hclust_tree.nwk	Level 1 Gower average-linkage Newick tree	True	
level1	tree	results/trees/level1_pan_cancer_correlation_hclust_tree.nwk	Level 1 correlation average-linkage Newick tree	True	
level2	table	results/tables/level2_group_definitions.tsv	Level 2 group definitions	True	
level2	table	results/tables/level2_tree_qc_summary.tsv	Level 2 tree QC summary	True	
level2	report	results/reports/level2_interpretation_summary.md	Level 2 interpretation summary	True	
level3	table	results/tables/level3_candidate_selection_qc_summary.tsv	Level 3 candidate-selection QC summary	True	
level3	table	results/tables/level3_candidate_summary_by_project.tsv	Level 3 candidate summary by project	True	
level3	table	results/tables/level3_pilot_cohort.tsv	Level 3 pilot cohort	True	
level3	table	results/tables/level3_segment_cn_qc_summary.tsv	Level 3 segment-level copy-number QC summary	True	
level3	table	results/tables/level3_mutation_local_cn_annotation_qc_summary.tsv	Level 3 mutation local-CN annotation QC summary	True	
level3	table	results/tables/level3_clonal_input_preparation_qc_summary.tsv	Level 3 clonal-input preparation QC summary	True	
level3	table	results/tables/level3_limited_vaf_clustering_qc_summary.tsv	Level 3 limited VAF clustering QC summary	True	
level3	table	results/tables/level3_limited_vaf_clonal_complexity_by_sample.tsv	Level 3 limited VAF complexity by sample	True	
level3	table	results/tables/level3_limited_vaf_clonal_complexity_by_project.tsv	Level 3 limited VAF complexity by project	True	
translational	table	results/tables/tcga_sample_reference_atlas_qc_summary.tsv	TCGA sample-level reference atlas QC summary	True	
translational	artifact	results/reference_atlas/tcga_reference_feature_definitions.yaml	Locked reference-atlas feature definitions used by clinical projection	True	
translational	artifact	results/reference_atlas/tcga_reference_scaler_parameters.json	Locked reference-atlas imputation and scaling parameters	True	
level3_readiness	table	results/tables/level3_allele_specific_cn_readiness_qc_summary.tsv	Allele-specific CN readiness QC summary	True	
level3_readiness	table	results/tables/level3_allele_specific_cn_availability_by_sample.tsv	Allele-specific CN availability by pilot sample	True	
level3_readiness	table	results/tables/level3_mutation_to_allele_specific_cn_readiness.tsv	Mutation overlap readiness for allele-specific CN	True	
level3_readiness	table	results/tables/level3_allele_specific_cn_external_inference_manifest.tsv	External allele-specific CN inference manifest	True	
level3_readiness	report	results/reports/level3_allele_specific_cn_and_pyclone_plan.md	Allele-specific CN acquisition and PyClone-VI planning report	True	
translational	matrix	results/reference_atlas/tcga_sample_reference_matrix.tsv.gz	Observed pre-imputation TCGA sample reference matrix	True	
