project_id	project_code	cancer_name	broad_group	level2_group	lineage_notes	tmb_proxy_median_nonsynonymous_count	tmb_proxy_mean_nonsynonymous_count	tmb_proxy_median_total_mutation_count	tmb_proxy_mean_total_mutation_count	mutation_prevalence_TP53	mutation_prevalence_KRAS	mutation_prevalence_BRAF	mutation_prevalence_IDH1	mutation_prevalence_IDH2	mutation_prevalence_PIK3CA	mutation_prevalence_APC	mutation_prevalence_PTEN	mutation_prevalence_NF1	mutation_prevalence_BAP1	mutation_prevalence_VHL	mutation_prevalence_RB1	mutation_prevalence_CDKN2A	mutation_prevalence_SMAD4	mutation_prevalence_ARID1A	mutation_prevalence_TERT	mutation_prevalence_EGFR	mutation_prevalence_ERBB2	mutation_prevalence_ALK	mutation_prevalence_MET	mutation_prevalence_MYC	mutation_prevalence_CTNNB1	mutation_prevalence_POLE	mutation_prevalence_MSH2	mutation_prevalence_MSH6	mutation_prevalence_MLH1	mutation_prevalence_PMS2	mutation_prevalence_BRCA1	mutation_prevalence_BRCA2	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_proliferation_score	median_immune_inflammatory_score	median_interferon_gamma_score	median_cytotoxic_t_cell_score	median_stromal_score	median_epithelial_score	median_EMT_score	median_hypoxia_score	median_cell_cycle_score	median_DNA_repair_score	median_angiogenesis_score	median_lineage_or_tissue_PC1	median_lineage_or_tissue_PC2
TCGA-ACC	ACC	Adrenocortical Carcinoma	Neuroendocrine/adrenal/paraganglioma	adrenal	Adrenal cortical malignancy; analyze carefully with PCPG only as endocrine-adjacent and not same lineage.	27	84.2065217391304	39.5	130.228260869565	0.184782608695652	0	0.0108695652173913	0	0	0.0108695652173913	0.0326086956521739	0	0.0543478260869565	0.0108695652173913	0	0.0217391304347826	0.0108695652173913	0	0.0108695652173913	0.0108695652173913	0.0217391304347826	0	0.0217391304347826	0	0	0.152173913043478	0.0217391304347826	0.0217391304347826	0.0108695652173913	0.0217391304347826	0.0217391304347826	0	0	0.84	2.54	17	10	8	17	-0.561763040866082	-0.325953619806187	-0.512914357575956	-0.307471499927584	-0.397586815128602	-0.843751612654887	0.0996485269024966	-0.110557304527461	-0.616931626251771	-0.350635748425304	-0.0279924397579397	2.69436168168777	0.715596590912443
TCGA-BLCA	BLCA	Bladder Urothelial Carcinoma	Carcinoma	urothelial	Urothelial carcinoma.	171	248.413625304136	261	377.693430656934	0.489051094890511	0.0389294403892944	0.0316301703163017	0.0218978102189781	0.0048661800486618	0.218978102189781	0.0608272506082725	0.0389294403892944	0.0754257907542579	0.0364963503649635	0.0048661800486618	0.187347931873479	0.0656934306569343	0.0194647201946472	0.253041362530414	0.0097323600973236	0.0170316301703163	0.124087591240876	0.0316301703163017	0.0413625304136253	0.0072992700729927	0.0340632603406326	0.0632603406326034	0.0267639902676399	0.024330900243309	0.0218978102189781	0.024330900243309	0.0510948905109489	0.097323600973236	0.61	2.99	14	5	7	14	0.328305534428598	-0.240606847571464	-0.270733081478112	-0.227773413639257	-0.212173055787927	0.553959283166064	-0.248020045938478	-0.110582162488951	0.393816170080692	0.138603785799026	-0.257598070064275	-1.78910402055221	1.69728671665246
TCGA-BRCA	BRCA	Breast Invasive Carcinoma	Carcinoma	breast	Breast carcinoma with molecular subtypes.	42	89.0235798499464	64	135.561629153269	0.339764201500536	0.00643086816720257	0.007502679528403	0.007502679528403	0	0.345123258306538	0.015005359056806	0.0578778135048232	0.0407288317256163	0.0107181136120043	0	0.0257234726688103	0	0.00857449088960343	0.0407288317256163	0.007502679528403	0.0128617363344051	0.0267952840300107	0.0128617363344051	0.0107181136120043	0.00321543408360129	0.00214362272240086	0.0139335476956056	0.007502679528403	0.0107181136120043	0.00857449088960343	0.00964630225080386	0.0267952840300107	0.030010718113612	0.6	2.17	11	3	6	11	-0.183840033587076	-0.198243766761861	-0.197521813381929	-0.238528074943562	0.289300744845437	0.145167484809105	-0.112487990147326	-0.425263908119894	-0.197742451158253	-0.0509670670997959	-0.144439071038066	0.688617810171113	0.517777875316479
TCGA-CESC	CESC	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Carcinoma	gynecologic_squamous_adeno	Mixed squamous and adenocarcinoma cohort.	87	196.298969072165	162	357.649484536082	0.0824742268041237	0.0549828178694158	0.0103092783505155	0	0.00343642611683849	0.288659793814433	0.0412371134020619	0.0721649484536082	0.0446735395189003	0.0309278350515464	0	0.0652920962199313	0.0206185567010309	0.0412371134020619	0.0618556701030928	0.013745704467354	0.0240549828178694	0.0481099656357388	0.0274914089347079	0.0103092783505155	0.0103092783505155	0.0171821305841924	0.0309278350515464	0.0103092783505155	0.013745704467354	0.0171821305841924	0.00343642611683849	0.0515463917525773	0.0481099656357388	0.67	2.13	8	4	4	8	1.33650397999773	-0.044046085770732	0.13957355669605	-0.000772288942994333	-0.375144711731889	0.0872086672195835	-0.339702706655399	0.223761997413661	1.23560003079649	0.600633395420037	-0.392067125974215	-5.01335536997508	1.35124100640409
TCGA-CHOL	CHOL	Cholangiocarcinoma	Carcinoma	gi_hepatobiliary	Biliary tract carcinoma.	42	68.0555555555556	77	125	0.111111111111111	0.0555555555555556	0.0277777777777778	0.138888888888889	0.0555555555555556	0.0555555555555556	0.0277777777777778	0.0277777777777778	0	0.194444444444444	0	0	0.0555555555555556	0	0.111111111111111	0	0	0.0555555555555556	0	0	0	0	0.0277777777777778	0	0	0	0	0	0.0277777777777778	0.745	1.91	9	2	6	9	-0.519147615138382	-0.240592637908451	-0.197004849005536	-0.226816937508778	-0.220004067561394	0.657659188004092	-0.144536510970547	-0.171415991709808	-0.536225887978251	-0.303923647764914	-0.218346706408118	1.66454962379835	1.11126537761809
TCGA-COAD	COAD	Colon Adenocarcinoma	Carcinoma	gi_colorectal	Colorectal adenocarcinoma.	116	437.676470588235	181	679.830882352942	0.549019607843137	0.428921568627451	0.142156862745098	0.0196078431372549	0.0245098039215686	0.316176470588235	0.715686274509804	0.0661764705882353	0.0588235294117647	0.017156862745098	0.00735294117647059	0.0294117647058824	0.00245098039215686	0.120098039215686	0.125	0.0122549019607843	0.0269607843137255	0.0367647058823529	0.071078431372549	0.0367647058823529	0.0220588235294118	0.0686274509803922	0.0784313725490196	0.0392156862745098	0.0465686274509804	0.0465686274509804	0.0269607843137255	0.0318627450980392	0.071078431372549	0.66	2.19	11	5	5	11	0.54037375236594	-0.190997747699753	-0.269632878522681	-0.177772540434429	-0.246312539110789	1.12488743086551	-0.387252365232581	-0.0231457445514468	0.531493385653604	0.2812333216118	-0.369315394383227	-2.22731010059217	2.54804437541146
TCGA-DLBC	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Hematolymphoid	lymphoid	Limited TCGA hematolymphoid representation.	113	129.810810810811	176	210.378378378378	0.135135135135135	0.0540540540540541	0.027027027027027	0	0	0	0.027027027027027	0.027027027027027	0.0540540540540541	0	0	0	0	0	0.108108108108108	0	0	0	0	0.027027027027027	0.0810810810810811	0	0	0	0	0	0	0.0540540540540541	0	0.55	2.1	6	4	1	6	1.78839362899844	1.77397487795647	1.38353308201421	1.87657730929169	-0.336359695473646	-0.860534851365663	-0.275512985625056	-0.00378373578766563	1.67125839960067	1.38690487230165	-0.366435892292712	-8.42545071652619	-6.11148621449295
TCGA-ESCA	ESCA	Esophageal Carcinoma	Carcinoma	gi_esophageal	Mixed squamous and adenocarcinoma cohort.	105	144.027027027027	195	261.405405405406	0.85945945945946	0.0108108108108108	0.0108108108108108	0.00540540540540541	0.00540540540540541	0.0918918918918919	0.0378378378378378	0.0324324324324324	0.027027027027027	0	0	0.027027027027027	0.0810810810810811	0.0648648648648649	0.0702702702702703	0.0108108108108108	0.027027027027027	0.0594594594594595	0.0324324324324324	0.0216216216216216	0	0.0378378378378378	0.0324324324324324	0.00540540540540541	0.0324324324324324	0	0.0216216216216216	0.0108108108108108	0.0378378378378378	0.61	2.57	15	5	8	15	0.685502149260718	-0.215142545886055	-0.162238940359596	-0.225742264076186	-0.206659908717456	0.0204753855127182	-0.220665694863461	-0.0723530022057427	0.652892648908731	0.80992910961078	-0.274529575658401	-2.55215243543513	1.50065685162974
TCGA-GBM	GBM	Glioblastoma Multiforme	CNS/glial	adult_glioma	High-grade glioma.	51	115.48635235732	77	173.831265508685	0.315136476426799	0.00496277915632754	0.0198511166253102	0.0645161290322581	0.00248138957816377	0.0967741935483871	0.0223325062034739	0.330024813895782	0.119106699751861	0.00496277915632754	0	0.0942928039702233	0.00992555831265509	0.00496277915632754	0.0124069478908189	0.0124069478908189	0.235732009925558	0.0124069478908189	0.00744416873449132	0.0173697270471464	0.00248138957816377	0.00496277915632754	0.0124069478908189	0.00248138957816377	0.0173697270471464	0.00248138957816377	0	0.0173697270471464	0.0148883374689826	0.77	2	7	3	3	7	-0.203870743632438	-0.264300421005049	-0.266195996723098	-0.276610567819816	-0.339192998250273	-0.865218903342043	0.237334195817087	-0.0529509779219834	-0.208598153122095	-0.335395197228615	0.0588927748286293	1.6031397563722	0.131172967849674
TCGA-HNSC	HNSC	Head and Neck Squamous Cell Carcinoma	Carcinoma	pan_squamous	Squamous carcinoma.	107	163.304518664047	163	247.080550098232	0.703339882121807	0.00196463654223969	0.0176817288801572	0.00785854616895874	0.00196463654223969	0.180746561886051	0.0451866404715128	0.0235756385068762	0.0275049115913556	0.00589390962671906	0	0.031434184675835	0.204322200392927	0.0275049115913556	0.037328094302554	0.00589390962671906	0.0275049115913556	0.0176817288801572	0.0333988212180747	0.00785854616895874	0.0117878192534381	0.00982318271119843	0.0216110019646365	0.0117878192534381	0.00589390962671906	0.00982318271119843	0.0117878192534381	0.0216110019646365	0.0412573673870334	0.49	2.12	10	4	6	10	0.449291907514976	-0.0700815237494783	0.110124166328939	-0.0745818521939742	-0.13380448832649	-0.397573629697823	-0.0108881063381609	0.631482701664696	0.50789455926305	0.160189361965273	-0.32412114084804	-2.61159301465851	0.00377271625244588
TCGA-KICH	KICH	Kidney Chromophobe	Carcinoma	kidney	Renal epithelial carcinoma.	20	32.2727272727273	31	50.3636363636364	0.318181818181818	0	0	0	0	0	0	0.0909090909090909	0.0151515151515152	0	0.0151515151515152	0.0303030303030303	0	0	0	0	0	0	0.0151515151515152	0	0	0.0151515151515152	0.0151515151515152	0	0	0	0	0	0	0.86	1.63	14	0	12	14	-0.842558057632104	-0.284857774109124	-0.486915166811939	-0.251552568394453	-0.425090471793627	-0.141856705603552	-0.480076193293659	-0.338686056479987	-0.85500912722874	-0.665137685522983	0.052839714884149	3.60698219602964	1.06396311488102
TCGA-KIRC	KIRC	Kidney Renal Clear Cell Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	53	58.4783783783784	76	86.4918918918919	0.0324324324324324	0.00540540540540541	0.0027027027027027	0.00540540540540541	0.0027027027027027	0.0162162162162162	0.0162162162162162	0.0378378378378378	0.0216216216216216	0.102702702702703	0.464864864864865	0.00540540540540541	0	0	0.0378378378378378	0.00810810810810811	0.00540540540540541	0.00810810810810811	0.0108108108108108	0.00810810810810811	0	0.0027027027027027	0.0162162162162162	0.0027027027027027	0.00540540540540541	0.0027027027027027	0.0027027027027027	0.0108108108108108	0.0216216216216216	0.56	1.99	4	1	2	4	-0.77133475401317	0.00720602007811378	0.0280616222869182	0.0919310057260259	-0.0755232898128947	-0.586783291141377	0.231727361065269	1.70110207443573	-0.789843483960605	-0.45505688490466	3.09900584292032	3.81502163247496	-5.93027914587015
TCGA-KIRP	KIRP	Kidney Renal Papillary Cell Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	67	81.1595744680851	101	125.698581560284	0.024822695035461	0.0177304964539007	0.0141843971631206	0	0.00709219858156028	0.0106382978723404	0.0141843971631206	0.0283687943262411	0.0212765957446809	0.0531914893617021	0.0106382978723404	0	0.00354609929078014	0.00709219858156028	0.0425531914893617	0.0283687943262411	0.00354609929078014	0.0106382978723404	0.0106382978723404	0.0780141843971631	0	0.00709219858156028	0.00354609929078014	0.0177304964539007	0.00709219858156028	0.00709219858156028	0.00354609929078014	0.0106382978723404	0.024822695035461	0.775	2.14	8	6	0	8	-0.815163768571442	-0.26867207135644	-0.371295173236876	-0.24951900989451	-0.473482034675704	-0.25931857413694	-0.363977153130216	-0.128576836319473	-0.834463193457503	-0.523633692913034	-0.464567612605161	2.92586639132383	1.18954754415347
TCGA-LAML	LAML	Acute Myeloid Leukemia	Hematolymphoid	myeloid	Leukemia; single-sample clonal analyses require special handling.	13	40.8785714285715	18	59.3785714285715	0.0642857142857143	0.0428571428571429	0	0.0357142857142857	0.0571428571428571	0	0.0285714285714286	0	0.0285714285714286	0	0	0	0	0.00714285714285714	0.00714285714285714	0	0	0.00714285714285714	0.0142857142857143	0	0.0142857142857143	0	0.0142857142857143	0	0.00714285714285714	0	0.00714285714285714	0	0.0142857142857143	0.85	2	0	0	0	0	0.211930604877276	0.361179654125437	-0.281404310042486	0.163062992124591	-0.499021585185812	-0.912983409471186	0.264054521626806	-0.428046911939869	0.150015326930478	1.93801921555386	-0.365274609573371	-2.31810736899416	-0.901979291866999
TCGA-LGG	LGG	Brain Lower Grade Glioma	CNS/glial	adult_glioma	Lower-grade glioma.	28	55.3365019011409	39	81.2566539923954	0.490494296577947	0.00380228136882129	0.00570342205323194	0.775665399239544	0.0399239543726236	0.0855513307984791	0.00380228136882129	0.0437262357414449	0.0608365019011407	0	0	0.0133079847908745	0.00570342205323194	0	0.0361216730038023	0.00380228136882129	0.0684410646387833	0.00190114068441065	0.00190114068441065	0.00950570342205323	0	0.00570342205323194	0.00760456273764259	0.00380228136882129	0.00380228136882129	0.00380228136882129	0.00570342205323194	0.00570342205323194	0.0152091254752852	0.75	2.01	2	0	2	2	-0.848049994678737	-0.321874629409037	-0.538496529348498	-0.325228519323071	-0.453528213498127	-0.864926919870319	0.304062335886565	-0.624577060073296	-0.857754641699509	-0.585839759434769	-0.304183681311512	4.31624233990984	0.843359688141243
TCGA-LIHC	LIHC	Liver Hepatocellular Carcinoma	Carcinoma	gi_hepatobiliary	Hepatocellular carcinoma.	85	105.767123287671	138	167.295890410959	0.301369863013699	0.0136986301369863	0	0.0219178082191781	0.00821917808219178	0.0356164383561644	0.0328767123287671	0.0191780821917808	0.0356164383561644	0.0547945205479452	0	0.052054794520548	0.0246575342465753	0.010958904109589	0.0794520547945206	0.00547945205479452	0.0164383561643836	0.00273972602739726	0.0246575342465753	0.00547945205479452	0.00273972602739726	0.263013698630137	0.00821917808219178	0.00273972602739726	0.0136986301369863	0.00273972602739726	0.00547945205479452	0.010958904109589	0.0219178082191781	0.72	2.14	8	3	4	8	-0.56053080621527	-0.240918223007243	-0.283032322670716	-0.232215872876054	-0.382172735643118	-0.338253887072737	-0.252352990737464	-0.38337184304488	-0.582389498254672	-0.620833954145664	-0.199239867203583	2.25762296995295	0.88548954586118
TCGA-LUAD	LUAD	Lung Adenocarcinoma	Carcinoma	lung_adeno	Lung adenocarcinoma.	199	297.875219683655	285	431.792618629174	0.513181019332162	0.295254833040422	0.0738137082601054	0.0105448154657293	0.00175746924428823	0.0492091388400703	0.0597539543057996	0.0175746924428823	0.115992970123023	0.0140597539543058	0.00175746924428823	0.0597539543057996	0.0439367311072056	0.0404217926186292	0.0615114235500879	0.0105448154657293	0.126537785588752	0.0175746924428823	0.0615114235500879	0.0369068541300527	0.0070298769771529	0.0369068541300527	0.0492091388400703	0.0175746924428823	0.0175746924428823	0.0140597539543058	0.015817223198594	0.0351493848857645	0.0562390158172232	0.45	2.765	16	5	9	16	-0.348192430108979	-0.0415006512570802	0.0695878153112802	-0.0670600837422476	-0.130725792095169	0.150692587810257	-0.253917478919074	0.0209608576103348	-0.328299772285144	-0.288082476798379	-0.00751202101481	0.885130586795747	-0.274305328331377
